5e-06,13000,30,5
1 = Jupiter,2 = Callisto,3 = Io,4 = Europa,5 = Ganymede
time,energy,ang_mom,r1x,r1y,r1z,v1x,v1y,v1z,r2x,r2y,r2z,v2x,v2y,v2z,r3x,r3y,r3z,v3x,v3y,v3z,r4x,r4y,r4z,v4x,v4y,v4z,r5x,r5y,r5z,v5x,v5y,v5z
0.05385,-40378.67400860453,211.230390557049,0.00105011811016048,-0.0007110471303610406,-6.044269757232066e-06,0.02269484017979059,0.01479348182968178,0.0008905887199950669,-0.9160737728410449,-0.2406226193221826,-0.0198092394431971,29.26998407570081,-111.3071769312145,-3.09035656743761,-0.2004206353909777,-0.05984170616256609,-0.004985292544864302,69.65506308098171,-235.8554517603794,-7.315984188023318,-0.3107581211395598,-0.1326158953487948,-0.0112517415607841,75.03084449552752,-177.0960282933079,-4.191357294683151,-0.225773426682983,0.4850170431980837,0.01529593902240242,-139.0697658444037,-64.69712899575437,-4.443768351935979
0.05400000000000001,-40378.67403457672,211.230390557049,0.00105332550701022,-0.0007088598556816949,-5.914699551193627e-06,0.02009143417817257,0.01430752958664473,0.0008351351218802293,-0.911530350108035,-0.2572776946852702,-0.02026945967077837,31.30730734691421,-110.7542971403893,-3.045741710423699,-0.1869379341868282,-0.09413303572311035,-0.006000773455935219,109.6542643740643,-220.1873734403815,-6.188940658408135,-0.2983757335465712,-0.1586649364945922,-0.01183850225361566,89.96680225176073,-170.0120107733291,-3.627328863214931,-0.2464181957865187,0.4748672367393884,0.01461545794975804,-136.1514144046026,-70.61268232041962,-4.627911261894649
0.05415,-40378.67401341976,211.2303905570491,0.001056153326789842,-0.00070677294271546,-5.794245591047737e-06,0.01764375648622288,0.0134601000540677,0.0007693524274991776,-0.9066820991623351,-0.2738470599474665,-0.02072291106564372,33.33424869548765,-110.1644062551614,-3.000107917509415,-0.1676923785723914,-0.1255604053463406,-0.00683248702398383,146.2928908160384,-197.7687905276788,-4.872135839128809,-0.2838008667737734,-0.1835572839315889,-0.01233861019205385,104.2464461367383,-161.6825930484376,-3.036676237925176,-0.2666063092249173,0.4638397688436293,0.0139079929387498,-132.9819635508307,-76.39749154508431,-4.803499288842985
0.0543,-40378.67394620679,211.230390557049,0.001058629250889073,-0.0007048382165923021,-5.684309580426815e-06,0.01540842021499495,0.01228479850829995,0.0006952529076973401,-0.9015306272846313,-0.2903251774891351,-0.02116944189614103,35.35014220009845,-109.5376933729531,-2.953470020958807,-0.1432749680791538,-0.153161153034401,-0.007454977210020222,178.4333862602415,-169.299536032331,-3.406583020576526,-0.2671396934385096,-0.207110438536563,-0.01274838530133873,117.7675392822152,-152.1666033920935,-2.42360710808937,-0.2863005353649744,0.4519550486933968,0.01317485148230093,-129.5672652820109,-82.04096401111588,-4.970211609638512
0.05445000000000001,-40378.67383649401,211.2303905570491,0.001060788953088852,-0.0007031017507691566,-5.58597359292509e-06,0.01343509462239201,0.01082448980991594,0.0006150742312071029,-0.8960776413446794,-0.3067065388839638,-0.02160890267754831,37.35432599227655,-108.8743586684865,-2.905843147834062,-0.1144368606651889,-0.1760923440641234,-0.007849309855400454,205.0838030501512,-135.6715153757858,-1.837979066551819,-0.2485133572994129,-0.2291513225842574,-0.01306479002603207,130.4328250052235,-141.5307760733046,-1.792476007015759,-0.3054645537531632,0.4392350552365577,0.0124173879931029,-125.9136148214527,-87.53276527355982,-5.127743542749809
0.0546,-40378.67368910919,211.230390557049,0.001062674938181445,-0.0007016025841015634,-5.49997172797966e-06,0.01176495795990249,0.00912983544189104,0.0005312055661410253,-0.8903249471692998,-0.3229856665739388,-0.02204114621648549,39.34614254565237,-108.1746135752749,-2.857242722959473,-0.0820650152162288,-0.1936573396934235,-0.008003660047718748,225.4302941240819,-97.9377559025756,-0.2151464819394005,-0.2280571739549216,-0.2495174418142853,-0.01328544942351716,142.1507062245774,-129.8494396485893,-1.147759601500151,-0.3240630207553439,0.4257032970743443,0.01163700134167538,-122.0277392458133,-92.86283741741596,-5.275807086080134
0.05475000000000001,-40378.67350957647,211.2303905570491,0.00106433517244888,-0.000700371677748972,-5.426673226651348e-06,0.0104294780010588,0.007257571345732697,0.0004461092498403112,-0.8842744488802158,-0.3391571155710591,-0.02246602765587663,41.32493879735846,-107.4386809493572,-2.807684472822216,-0.04715346442562857,-0.2053272898599637,-0.00791365764225521,238.8626988871965,-57.2759540575727,1.411620626640542,-0.2059197378333162,-0.2680580011701136,-0.01340866789864341,152.8358172293966,-117.2041964064819,-0.4940356728335076,-0.3420616334378362,0.4113847696394296,0.0108351323159405,-117.9167854090438,-98.0214168704876,-5.414131425474244
0.0549,-40378.67330411739,211.2303905570491,0.00106582155848628,-0.0006994311448919441,-5.366077455906045e-06,0.009449561163943252,0.005268606501950048,0.0003622414357589128,-0.8779281482222506,-0.3552154751790547,-0.02288340452041675,43.29006616761723,-106.666795167803,-2.757184428123946,-0.01077132630628261,-0.2107568528183149,-0.007582482187441128,244.9923291864518,-14.94825232474094,2.992231477781127,-0.182261948902835,-0.2846349675398404,-0.013433442721644,162.4095328931318,-103.6835312437484,0.1640393880638504,-0.3594271915848817,0.3963059097413903,0.0100132610067687,-113.5883071726608,-102.9990516881347,-5.542463413145444
0.05505,-40378.67307963845,211.2303905570491,0.001067188311394727,-0.0006987937738405787,-5.317820667275483e-06,0.008835089830111584,0.003226026610253173,0.0002819749756509869,-0.8712881438917685,-0.3711553707242178,-0.02329313676225185,45.24088054717381,-105.8592021527469,-2.705758924014137,0.02597123659090174,-0.2097937107285117,-0.007020709478519137,243.6615123665923,27.74095910386136,4.478424246776934,-0.1572559643803292,-0.2991240680197829,-0.01335947392695804,170.8004645004773,-89.38234550767424,0.8217563278748288,-0.3761276577495964,0.3804945475604875,0.009172904124055904,-109.0502519582843,-107.7866182872127,-5.66056801539909
0.05520000000000001,-40378.67284355382,211.2303905570491,0.001068490294750495,-0.0006984628524942828,-5.281193970666339e-06,0.008584846936521033,0.001193085858135893,0.0002075274516495111,-0.8643566308662549,-0.3869714652850808,-0.02369508680652033,47.17674230029733,-105.0161593353336,-2.653424598078702,0.06195786934091638,-0.2024817175643653,-0.006245921869865826,234.9449045958446,69.48746171180991,5.82528086772243,-0.1310840761398635,-0.3114157137161204,-0.01318717014842349,177.9449541106585,-74.40143307263796,1.474381274653593,-0.3921322152381428,0.3639798561740422,0.008315612247979975,-104.3109466413568,-112.375337607279,-5.768228729097246
0.05535,-40378.67260352502,211.2303905570491,0.001069781373207139,-0.0006984322900893287,-5.255171562195472e-06,0.00868680856725073,-0.0007687366670821509,0.0001408967818460553,-0.8571358997307712,-0.4026584614135033,-0.02408911959645796,49.09701630534965,-104.1379355807155,-2.600198386636992,0.09610048025002117,-0.1890577699698263,-0.005282102936114191,219.1429886628954,109.0282285329008,6.992580044549364,-0.1039375145746042,-0.3214158414081594,-0.01291765009598061,183.7875588133468,-58.84691021610345,2.117185474517529,-0.4074113239298412,0.3467922987029316,0.007442967020164388,-99.37908280692587,-116.7567906775205,-5.865247966346452
0.05550000000000001,-40378.67236719138,211.2303905570491,0.001071112834525904,-0.0006986870214291453,-5.238447924369535e-06,0.009118770323827888,-0.002601549819808252,8.380623949823955e-05,-0.8496283359951921,-0.4182111028427495,-0.02447510263785908,51.00107203672064,-103.2248110920605,-2.546097519955135,0.127372179145221,-0.1699427193644108,-0.004158843820185062,196.7684896676178,145.1796417281726,7.945949673096305,-0.07601518131194124,-0.3290466664794959,-0.01255273949777948,188.281513334334,-42.82960280714896,2.745475955233414,-0.4219367738391865,0.3289635731689479,0.006556578279552922,-94.26370138971456,-120.9229335681219,-5.951447406915878
0.05565000000000001,-40378.67214192454,211.2303905570491,0.00107253192783643,-0.0006992036698335573,-5.229482487002937e-06,0.009849262526575482,-0.004252679451999296,3.766011126966164e-05,-0.8418364193963569,-0.4336241761803651,-0.02485290604276914,52.88828368277551,-102.2770773053556,-2.491139516846808,0.1548377057998246,-0.1457268338604989,-0.002910393460787484,168.5266687180599,176.871780732658,8.657792769156586,-0.04752231475213516,-0.334247340728727,-0.01209496338996566,191.3891617825925,-26.4643907210761,3.354626866318648,-0.43568173632914,0.3105265551569327,0.005658081147871418,-88.97417672169163,-124.8661117050832,-6.026668317915234
0.0558,-40378.67193461653,211.2303905570491,0.001074080557663621,-0.000699951438143319,-5.226550098215488e-06,0.01083870305302238,-0.005676074776558637,3.5106319203212e-06,-0.833762723180337,-0.4488925125850091,-0.02522240257234112,54.75803029161323,-101.2950367813453,-2.43534217896289,0.1776805110099773,-0.1171504652240815,-0.001574587832433756,135.2905864103689,203.1779538012858,9.107973428033095,-0.01866909361737958,-0.3369745085868909,-0.01154753366317069,193.0823513282411,-9.869508751743243,3.940111363904884,-0.4486208128886154,0.2915152383787215,0.004749133069621474,-83.52020001110246,-128.5790735278532,-6.090771840284373
0.05595000000000001,-40378.67175150504,211.230390557049,0.001075794165374819,-0.0007008931923255042,-5.22779559899878e-06,0.01204073457122582,-0.006833466901009081,-1.796368199954411e-05,-0.8254099133612539,-0.4640109894270443,-0.02558346767882318,56.60969593680729,-100.2790030973027,-2.378723584936711,0.1952258208677922,-0.08508067795847257,-0.0001916945082594008,98.07247093033399,223.3389386566859,9.28426027474195,0.01033081529690767,-0.3372027551912429,-0.01091433179271152,193.3427814603961,6.83419618099442,4.497533921550263,-0.4607300813907081,0.2719646732389972,0.003831410811616482,-77.91176227754286,-132.0549834695717,-6.143639241670568
